Date, Open, High, Low, Close
08/11/2021,7161.04,7220.14,7157.74,7220.14
08/10/2021,7132.3,7166.67,7115.87,7161.04
08/09/2021,7122.95,7138.8,7089.74,7132.3
08/06/2021,7120.43,7135.39,7103.71,7122.95
08/05/2021,7123.86,7130.35,7099.03,7120.43
08/04/2021,7105.72,7142.54,7105.72,7123.86
08/03/2021,7081.72,7119.19,7074.32,7105.72
08/02/2021,7032.3,7111.66,7032.3,ERR
07/30/21,7078.42,7078.42,6996.93,7032.3
07/29/21,7016.63,7093.93,7008.65,7078.42
07/28/21,6996.08,7023.35,6974.8,7016.63
07/27/21,7025.43,7028.37,6929.64,6996.08
07/26/21,7027.58,7038.65,6980.67,7025.43
07/23/21,6968.3,7033.27,6968.3,7027.58
07/22/21,6998.28,7018.95,6956.24,6968.3
07/21/21,6881.13,7007.75,6881.13,6998.28
07/20/21,6844.39,6929.89,6827.26,6881.13
07/19/21,7008.09,7008.09,6813.03,6844.39
07/16/21,7012.02,7056.73,60978.06,7008.09
07/15/21,70091.19,7111.77,7005.02,7012.02
07/14/21,7124.72,60974.8,7073.59,7091.19
07/13/21,7125.42,7152.44,7116.26,7124.72
07/12/2021,7121.88,7134.87,7066.2,7125.42
07/09/2021,7030.66,7121.88,7030.22,7121.88
07/08/2021,7161.04,7151.02,6981.57,7030.66
07/07/2021,7100.88,7153.68,7100.88,7151.02
07/06/2021,7164.91,7170.6,7075.73,7100.88
07/05/2021,7123.27,7168.03,7111.51,7164.91
07/02/2021,7125.16,7162.16,7110.3,7123.27
07/01/2021,7037.47,7134.21,7037.47,7125.16
06/30/21,7087.55,7100.71,7010.57,7037.47
06/29/21,7072.97,7120.77,7071.86,7087.55
06/28/21,7136.07,7136.22,7071.95,7072.97
06/25/21,7109.97,7139.08,7109.79,7136.07
06/24/21,7074.06,7119.41,7070.9,7109.97
06/23/21,7090.01,7129.4,7074.06,7074.06
06/22/21,7062.29,7098.67,7061.13,7090.01
06/21/21,7017.47,7065.05,6948.63,7062.29
06/18/21,7153.43,7154.63,7008.74,7017.47
06/17/21,7184.95,7184.95,7132.96,7153.43
06/16/21,7172.48,7217.54,7169.21,7184.95
06/15/21,7146.68,7189.63,7142.71,7172.48
06/14/21,7134.06,7188.26,7131.79,7146.68
06/11/2021,7088.18,7140.7,7088.18,7134.06
06/10/2021,7081.01,7117.74,7080.02,7088.18
06/09/2021,7095.09,7095.72,7046.02,7081.01
06/08/2021,7077.22,7120.73,7074.94,7095.09
06/07/2021,7069.04,7098.31,7042.19,7077.22
06/04/2021,7064.35,7071.81,7039.74,7069.04
06/03/2021,7108,7108.04,7013.85,7064.35
06/02/2021,7080.46,7122.54,7074.06,7108
06/01/2021,7022.61,7118.03,7022.61,7080.46
05/28/21,7019.67,7054.91,7019.58,7022.61
05/27/21,7026.93,7044.01,7008.53,7019.67
05/26/21,7029.79,7050.88,6998.19,7026.93
05/25/21,7051.59,7067.6,7029.79,7029.79
05/24/21,7018.05,7054.63,7013.51,7051.59
05/21/21,7019.79,7028.17,6973.31,7018.05
05/20/21,6950.2,7019.79,6926.85,7019.79
05/19/21,7034.24,7034.24,6897.06,6950.2
05/18/21,7032.85,7102.57,7030.37,7034.24
05/17/21,7043.61,7066.76,6989.11,7032.85
05/14/21,6963.33,7048.67,6963.33,7043.61
05/13/21,7004.63,7004.63,6823.6,6963.33
05/12/2021,6947.99,ERR,6945.33,7004.63
05/11/2021,7123.68,7123.68,6912.36,6947.99
05/10/2021,7129.71,7164.18,7104.4,7123.68
05/07/2021,7076.17,7143.46,7076.17,7129.71
05/06/2021,7039.3,7076.17,7026.75,7076.17
05/05/2021,6923.17,7047.75,6923.17,7039.3
05/04/2021,6969.81,7034.26,6912.28,6923.17
04/30/21,6961.48,7009.47,6946.04,60969.81
04/29/21,6963.67,7019.76,6953.87,6961.48
04/28/21,6944.97,6986.7,6944.06,6963.67
04/27/21,6963.12,6975.07,6929.77,6944.97
04/26/21,6938.56,6971.52,6913.39,6963.12
04/23/21,6938.24,6938.56,6891.75,6938.56
04/22/21,6895.29,6941.11,6889.32,6938.24
04/21/21,6859.87,6914.88,6859.61,6895.29
04/20/21,7000.08,7001.27,6857.07,6859.87
04/19/21,7019.53,7040.26,6979.23,7000.08
04/16/21,6983.5,7037.65,6983.5,7019.53
04/15/21,6939.58,6994.9,6939.26,6983.5
04/14/21,6890.49,6942.33,6880.67,6939.58
04/13/21,6889.12,6895.13,6859.72,6890.49
04/12/2021,6915.75,6916.08,6853.75,6889.12
04/09/2021,6942.22,6949.56,6906.37,6915.75
04/08/2021,6885.32,6942.22,6884.79,6942.22
04/07/2021,6823.55,6898.38,6823.55,6885.32
04/06/2021,6737.3,6843.73,6737.3,6823.55
04/05/2021,6713.63,6766.52,6713.63,6737.3
04/02/2021,6713.63,6766.52,6713.63,6737.3
04/01/2021,6713.63,6766.52,6713.63,6737.3
03/31/21,6772.12,6775.67,6713.63,6713.63
03/30/21,6736.17,6792.23,6729.46,6772.12
03/29/21,6740.59,6758.78,6705.42,6736.17
03/26/21,6674.83,6742.14,6674.83,6740.59
03/25/21,6712.89,6729.92,6618.61,6674.83
03/24/21,6699.19,6722.61,6649.37,6712.89
03/23/21,6726.1,6726.1,6664.76,6699.19
03/22/21,6708.71,6732.67,6650.96,6726.1
03/19/21,6779.68,6779.68,6664.56,6708.71
