Entity,Code,Day,new_hospital_admissions
United Kingdom,GBR,29/03/2020,1987.285714
United Kingdom,GBR,30/03/2020,2261.142857
United Kingdom,GBR,31/03/2020,2420.428571
United Kingdom,GBR,01/04/2020,2632.142857
United Kingdom,GBR,02/04/2020,2826.285714
United Kingdom,GBR,03/04/2020,2926.714286
United Kingdom,GBR,04/04/2020,3031
United Kingdom,GBR,05/04/2020,3092.142857
United Kingdom,GBR,06/04/2020,3071.428571
United Kingdom,GBR,07/04/2020,3116.857143
United Kingdom,GBR,08/04/2020,3031.142857
United Kingdom,GBR,09/04/2020,2937.285714
United Kingdom,GBR,10/04/2020,2870.571429
United Kingdom,GBR,11/04/2020,2762.142857
United Kingdom,GBR,12/04/2020,2640.571429
United Kingdom,GBR,13/04/2020,2514.285714
United Kingdom,GBR,14/04/2020,2362.571429
United Kingdom,GBR,15/04/2020,2207.285714
United Kingdom,GBR,16/04/2020,2119
United Kingdom,GBR,17/04/2020,2048.142857
United Kingdom,GBR,18/04/2020,1971.857143
United Kingdom,GBR,19/04/2020,1913.428571
United Kingdom,GBR,20/04/2020,1852.285714
United Kingdom,GBR,21/04/2020,1798.571429
United Kingdom,GBR,22/04/2020,1748.428571
United Kingdom,GBR,23/04/2020,1677.428571
United Kingdom,GBR,24/04/2020,1614.428571
United Kingdom,GBR,25/04/2020,1560.857143
United Kingdom,GBR,26/04/2020,1517.714286
United Kingdom,GBR,27/04/2020,1489.714286
United Kingdom,GBR,28/04/2020,1462
United Kingdom,GBR,29/04/2020,1456.142857
United Kingdom,GBR,30/04/2020,1445.714286
United Kingdom,GBR,01/05/2020,1408.142857
United Kingdom,GBR,02/05/2020,1397.571429
United Kingdom,GBR,03/05/2020,1373.714286
United Kingdom,GBR,04/05/2020,1332.428571
United Kingdom,GBR,05/05/2020,1279.285714
United Kingdom,GBR,06/05/2020,1239
United Kingdom,GBR,07/05/2020,1199.714286
United Kingdom,GBR,08/05/2020,1149.285714
United Kingdom,GBR,09/05/2020,1115.571429
United Kingdom,GBR,10/05/2020,1076.714286
United Kingdom,GBR,11/05/2020,1045.285714
United Kingdom,GBR,12/05/2020,1022
United Kingdom,GBR,13/05/2020,987.7142857
United Kingdom,GBR,14/05/2020,951
United Kingdom,GBR,15/05/2020,945.4285714
United Kingdom,GBR,16/05/2020,926.7142857
United Kingdom,GBR,17/05/2020,909
United Kingdom,GBR,18/05/2020,883.4285714
United Kingdom,GBR,19/05/2020,868.8571429
United Kingdom,GBR,20/05/2020,852.4285714
United Kingdom,GBR,21/05/2020,842.7142857
United Kingdom,GBR,22/05/2020,823.8571429
United Kingdom,GBR,23/05/2020,799.5714286
United Kingdom,GBR,24/05/2020,770.2857143
United Kingdom,GBR,25/05/2020,734.8571429
United Kingdom,GBR,26/05/2020,708.7142857
United Kingdom,GBR,27/05/2020,688.8571429
United Kingdom,GBR,28/05/2020,669.1428571
United Kingdom,GBR,29/05/2020,651.2857143
United Kingdom,GBR,30/05/2020,640.5714286
United Kingdom,GBR,31/05/2020,632.2857143
United Kingdom,GBR,01/06/2020,632.5714286
United Kingdom,GBR,02/06/2020,628.2857143
United Kingdom,GBR,03/06/2020,617.1428571
United Kingdom,GBR,04/06/2020,597.5714286
United Kingdom,GBR,05/06/2020,577.7142857
United Kingdom,GBR,06/06/2020,554.7142857
United Kingdom,GBR,07/06/2020,537.4285714
United Kingdom,GBR,08/06/2020,510
United Kingdom,GBR,09/06/2020,484.8571429
United Kingdom,GBR,10/06/2020,467.4285714
United Kingdom,GBR,11/06/2020,450.2857143
United Kingdom,GBR,12/06/2020,438.7142857
United Kingdom,GBR,13/06/2020,435.7142857
United Kingdom,GBR,14/06/2020,429.4285714
United Kingdom,GBR,15/06/2020,433.4285714
United Kingdom,GBR,16/06/2020,428.2857143
United Kingdom,GBR,17/06/2020,417
United Kingdom,GBR,18/06/2020,411.1428571
United Kingdom,GBR,19/06/2020,402.8571429
United Kingdom,GBR,20/06/2020,384.4285714
United Kingdom,GBR,21/06/2020,373.5714286
